"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3206.72661034761/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0x6b66a837f20e79e6c92871b19ecc8c98a115528cd6e6d12e7b6f084323321103","12660278","1712109903","2024-04-03 02:05:03","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.0046","14.750942407599","0.000013285529095494","0.042603059683068","3312.24","Error(0)","execution reverted","Execute",""
"0xd279a309d72a02f949f3a037985def160e5e13df42f7b92d7d685de42a86d327","12660326","1712109999","2024-04-03 02:06:39","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.0031","9.94085249207759","0.000020548771999832","0.0658942939818271","3312.24","Error(0)","execution reverted","Execute",""
"0x24de5d3e1e2988b7be06544a98b3329a6edf784d884ae60264a92a8ee0a90b14","12663513","1712116373","2024-04-03 03:52:53","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.00305","9.78051616156021","0.00001794456127239","0.0575433021431862","3312.24","","","Execute",""
"0x521b543701248853d2b768e9a0a459ad7cb16653664d2272d10099f68cf05867","12663836","1712117019","2024-04-03 04:03:39","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.0061","19.5610323231204","0.000019266519414991","0.0617824604968305","3312.24","","","Execute",""
"0xb16aecca38c41a52e891db94d4116244adeb81ac77a7d87f59cc490e748db8c7","12664250","1712117847","2024-04-03 04:17:27","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.00454","14.5585388109781","0.000012222245395688","0.0391933995485513","3312.24","","","Execute",""
"0x422aa981df3cc34ca937211b4c187f92d32964e24590b8ed0ffcba538e0bc48e","12665518","1712120383","2024-04-03 04:59:43","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x0028e1e60167b48a938b785aa5292917e7eaca8b","","0","0","0","0.000006600287250039","0.0211653167606381","3312.24","","","Transfer",""
"0x79012f961fd1308a7233d9508acb38a9a0edac4c24f67416e24e07f93201d139","12711106","1712211559","2024-04-04 06:19:19","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.00305","9.78051616156021","0.000001437746630079","0.00461046037761193","3329.17","","","Execute",""
"0x67c8daa3bb7ae1ac14fc71309bde21cb7ba69fb00770ac41ad0c30e332626196","12740195","1712269737","2024-04-04 22:28:57","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.0006","1.92403596620857","0.000004923519263032","0.0157883802373238","3329.17","Error(0)","execution reverted","Execute",""
"0xa5c6d1e975971e752412185982ec042da615c1f3222897ed5518e22eadfc2c26","12740212","1712269771","2024-04-04 22:29:31","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","","0","0.0006","1.92403596620857","0.000003726340921574","0.0119493565924386","3329.17","","","Execute",""
"0x45cca25131755d67c452f91731b02461ac224c69396758f2a56c6bfb68f8f621","12740235","1712269817","2024-04-04 22:30:17","0x14270e982a655abf7927ab4ffc11142ddecda25d","0x7b72bf38b06969a0989cb4ff8888484f4fc59883","","0","0","0","0.000001501346682447","0.0048144083579599","3329.17","","","Approve",""
